seq,src,dst,noise,received,error,rssi
1,node3-8,node1-4,-10,True,False,16
2,node3-8,node1-4,-10,True,False,14
3,node3-8,node1-4,-10,True,False,13
4,node3-8,node1-4,-10,True,False,12
5,node3-8,node1-4,-10,True,False,12
6,node3-8,node1-4,-10,True,False,14
7,node3-8,node1-4,-10,True,False,13
8,node3-8,node1-4,-10,True,False,12
9,node3-8,node1-4,-10,True,False,12
10,node3-8,node1-4,-10,True,False,13
11,node3-8,node1-4,-10,True,False,13
12,node3-8,node1-4,-10,True,False,12
13,node3-8,node1-4,-10,True,False,12
14,node3-8,node1-4,-10,True,False,13
15,node3-8,node1-4,-10,True,False,13
16,node3-8,node1-4,-10,True,False,13
17,node3-8,node1-4,-10,True,False,14
18,node3-8,node1-4,-10,True,False,13
19,node3-8,node1-4,-10,True,False,14
20,node3-8,node1-4,-10,True,False,13
21,node3-8,node1-4,-10,True,False,14
22,node3-8,node1-4,-10,True,False,13
23,node3-8,node1-4,-10,True,False,13
24,node3-8,node1-4,-10,True,False,13
25,node3-8,node1-4,-10,True,False,13
26,node3-8,node1-4,-10,True,False,13
27,node3-8,node1-4,-10,True,False,12
28,node3-8,node1-4,-10,True,False,14
29,node3-8,node1-4,-10,True,False,12
30,node3-8,node1-4,-10,True,False,12
31,node3-8,node1-4,-10,True,False,13
32,node3-8,node1-4,-10,True,False,12
33,node3-8,node1-4,-10,True,False,13
34,node3-8,node1-4,-10,True,False,14
35,node3-8,node1-4,-10,True,False,14
36,node3-8,node1-4,-10,True,False,13
37,node3-8,node1-4,-10,True,False,13
38,node3-8,node1-4,-10,True,False,13
39,node3-8,node1-4,-10,True,False,12
40,node3-8,node1-4,-10,True,False,12
41,node3-8,node1-4,-10,True,False,13
42,node3-8,node1-4,-10,True,False,13
43,node3-8,node1-4,-10,True,False,13
44,node3-8,node1-4,-10,True,False,14
45,node3-8,node1-4,-10,True,False,12
46,node3-8,node1-4,-10,True,False,13
47,node3-8,node1-4,-10,True,False,12
48,node3-8,node1-4,-10,True,False,13
49,node3-8,node1-4,-10,True,False,12
50,node3-8,node1-4,-10,True,False,14
51,node3-8,node1-4,-10,True,False,13
52,node3-8,node1-4,-10,True,False,12
53,node3-8,node1-4,-10,True,False,13
54,node3-8,node1-4,-10,True,False,12
55,node3-8,node1-4,-10,True,False,13
56,node3-8,node1-4,-10,True,False,13
57,node3-8,node1-4,-10,True,False,12
58,node3-8,node1-4,-10,True,False,14
59,node3-8,node1-4,-10,True,False,12
60,node3-8,node1-4,-10,True,False,13
61,node3-8,node1-4,-10,True,False,15
62,node3-8,node1-4,-10,True,False,14
63,node3-8,node1-4,-10,True,False,13
64,node3-8,node1-4,-10,True,False,13
65,node3-8,node1-4,-10,True,False,13
66,node3-8,node1-4,-10,True,False,13
67,node3-8,node1-4,-10,True,False,13
68,node3-8,node1-4,-10,True,False,13
69,node3-8,node1-4,-10,True,False,13
70,node3-8,node1-4,-10,True,False,14
71,node3-8,node1-4,-10,True,False,13
72,node3-8,node1-4,-10,True,False,12
73,node3-8,node1-4,-10,True,False,13
74,node3-8,node1-4,-10,True,False,13
75,node3-8,node1-4,-10,True,False,13
76,node3-8,node1-4,-10,True,False,14
77,node3-8,node1-4,-10,True,False,13
78,node3-8,node1-4,-10,True,False,14
79,node3-8,node1-4,-10,True,False,13
80,node3-8,node1-4,-10,True,False,12
81,node3-8,node1-4,-10,True,False,13
82,node3-8,node1-4,-10,True,False,13
83,node3-8,node1-4,-10,True,False,13
84,node3-8,node1-4,-10,True,False,13
85,node3-8,node1-4,-10,True,False,13
86,node3-8,node1-4,-10,True,False,13
87,node3-8,node1-4,-10,True,False,13
88,node3-8,node1-4,-10,True,False,13
89,node3-8,node1-4,-10,True,False,13
90,node3-8,node1-4,-10,True,False,13
91,node3-8,node1-4,-10,True,False,14
92,node3-8,node1-4,-10,True,False,12
93,node3-8,node1-4,-10,True,False,13
94,node3-8,node1-4,-10,True,False,14
95,node3-8,node1-4,-10,True,False,14
96,node3-8,node1-4,-10,True,False,13
97,node3-8,node1-4,-10,True,False,13
98,node3-8,node1-4,-10,True,False,13
99,node3-8,node1-4,-10,True,False,13
100,node3-8,node1-4,-10,True,False,13
101,node3-8,node1-4,-10,True,False,13
102,node3-8,node1-4,-10,True,False,12
103,node3-8,node1-4,-10,True,False,13
104,node3-8,node1-4,-10,True,False,13
105,node3-8,node1-4,-10,True,False,12
106,node3-8,node1-4,-10,True,False,13
107,node3-8,node1-4,-10,True,False,12
108,node3-8,node1-4,-10,True,False,13
109,node3-8,node1-4,-10,True,False,13
110,node3-8,node1-4,-10,True,False,13
111,node3-8,node1-4,-10,True,False,13
112,node3-8,node1-4,-10,True,False,13
113,node3-8,node1-4,-10,True,False,13
114,node3-8,node1-4,-10,True,False,13
115,node3-8,node1-4,-10,True,False,13
116,node3-8,node1-4,-10,True,False,12
117,node3-8,node1-4,-10,True,False,13
118,node3-8,node1-4,-10,True,False,12
119,node3-8,node1-4,-10,True,False,13
120,node3-8,node1-4,-10,True,False,13
121,node3-8,node1-4,-10,True,False,13
122,node3-8,node1-4,-10,True,False,13
123,node3-8,node1-4,-10,True,False,12
124,node3-8,node1-4,-10,True,False,13
125,node3-8,node1-4,-10,True,False,13
126,node3-8,node1-4,-10,True,False,12
127,node3-8,node1-4,-10,True,False,13
128,node3-8,node1-4,-10,True,False,13
129,node3-8,node1-4,-10,True,False,13
130,node3-8,node1-4,-10,True,False,13
131,node3-8,node1-4,-10,True,False,13
132,node3-8,node1-4,-10,True,False,13
133,node3-8,node1-4,-10,True,False,14
134,node3-8,node1-4,-10,True,False,13
135,node3-8,node1-4,-10,True,False,12
136,node3-8,node1-4,-10,True,False,12
137,node3-8,node1-4,-10,True,False,13
138,node3-8,node1-4,-10,True,False,12
139,node3-8,node1-4,-10,True,False,13
140,node3-8,node1-4,-10,True,False,13
141,node3-8,node1-4,-10,True,False,13
142,node3-8,node1-4,-10,True,False,12
143,node3-8,node1-4,-10,True,False,13
144,node3-8,node1-4,-10,True,False,13
145,node3-8,node1-4,-10,True,False,13
146,node3-8,node1-4,-10,True,False,12
147,node3-8,node1-4,-10,True,False,14
148,node3-8,node1-4,-10,True,False,13
149,node3-8,node1-4,-10,True,False,13
150,node3-8,node1-4,-10,True,False,12
151,node3-8,node1-4,-10,True,False,13
152,node3-8,node1-4,-10,True,False,14
153,node3-8,node1-4,-10,True,False,13
154,node3-8,node1-4,-10,True,False,12
155,node3-8,node1-4,-10,True,False,13
156,node3-8,node1-4,-10,True,False,13
157,node3-8,node1-4,-10,True,False,13
158,node3-8,node1-4,-10,True,False,13
159,node3-8,node1-4,-10,True,False,12
160,node3-8,node1-4,-10,True,False,13
161,node3-8,node1-4,-10,True,False,12
162,node3-8,node1-4,-10,True,False,12
163,node3-8,node1-4,-10,True,False,13
